indicator_id,region_id,date,value
ZSFH,14208,2012-04-30,139193.0
ZSFH,14208,2012-03-31,137800.0
ZSFH,14208,2012-02-29,137247.0
ZSFH,14208,2012-01-31,137021.0
ZSFH,14208,2011-12-31,136834.0
ZSFH,14208,2011-11-30,136717.0
ZSFH,14208,2011-10-31,136587.0
ZSFH,14208,2011-09-30,136596.0
ZSFH,14208,2011-08-31,137014.0
ZSFH,14208,2011-07-31,137429.0
ZSFH,14208,2011-06-30,137839.0
ZSFH,14208,2011-05-31,138337.0
ZSFH,14208,2011-04-30,138900.0
ZSFH,14208,2011-03-31,139501.0
ZSFH,14208,2011-02-28,140022.0
ZSFH,14208,2011-01-31,140455.0
ZSFH,14208,2010-12-31,141077.0
ZSFH,14208,2010-11-30,141279.0
ZSFH,14208,2010-10-31,141564.0
